"","ano","regiao","estado","estacao","qtd","variavel","min","max","zerados"
"182","2018","CO","GO","ARAGARCAS","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","8","94","2038"
"183","2018","CO","GO","ARAGARCAS","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","10","94","1801"
"184","2018","CO","GO","ARAGARCAS","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","10","94","1702"
"185","2018","CO","GO","ARAGARCAS","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","885"
"186","2018","CO","GO","ARAGARCAS","8760","VENTO..RAJADA.MAXIMA..m.s.","0","20.2","1563"
"187","2018","CO","GO","ARAGARCAS","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","7.9","1558"
"188","2018","CO","GO","GOIAS","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","41.8","8076"
"189","2018","CO","GO","GOIAS","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","945.4","963.2","454"
"190","2018","CO","GO","GOIAS","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","946.8","967.5","673"
"191","2018","CO","GO","GOIAS","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","930.9","963","669"
"192","2018","CO","GO","GOIAS","8760","RADIACAO.GLOBAL..KJ.m..","0","4322.8","3726"
"193","2018","CO","GO","GOIAS","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","12.8","39.7","375"
"194","2018","CO","GO","GOIAS","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-5.8","24.8","736"
"195","2018","CO","GO","GOIAS","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","13.3","40.5","489"
"196","2018","CO","GO","GOIAS","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","12.3","38","584"
"197","2018","CO","GO","GOIAS","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-4.6","25.9","934"
"198","2018","CO","GO","GOIAS","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-6.4","23.3","966"
"199","2018","CO","GO","GOIAS","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","11","97","1423"
"200","2018","CO","GO","GOIAS","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","10","97","1103"
"201","2018","CO","GO","GOIAS","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","10","97","954"
"202","2018","CO","GO","GOIAS","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","83"
"203","2018","CO","GO","GOIAS","8760","VENTO..RAJADA.MAXIMA..m.s.","0","18","5226"
"204","2018","CO","GO","GOIAS","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0","8","7223"
"205","2018","CO","GO","ITAPACI","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","37","8248"
"206","2018","CO","GO","ITAPACI","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","942.7","959.5","500"
"207","2018","CO","GO","ITAPACI","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","942.9","959.5","641"
"208","2018","CO","GO","ITAPACI","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","942.6","959.1","641"
